"","Linear Regression","MARS","Neural Networks","K-nearest Neighbour"
"1",2.82882100450899,2.87245708852833,2.66141775806211,3
"2",1.96711414928713,1.89603291222157,1.7718037975993,1
"3",4.33595173138715,4.37708333333333,4.35374852040194,5
"4",4.33595173138715,4.37708333333333,4.35374852040194,5
"5",4.33595173138715,4.37708333333333,4.35374852040194,5
"6",2.39946080715017,2.48041735035762,2.5408044216087,3
"7",4.33595173138715,4.37708333333333,4.35374852040194,5
"8",4.33595173138715,4.37708333333333,4.35374852040194,5
"9",1.7472044329866,1.76191250998539,1.78297281323843,2
"10",4.33595173138715,4.37708333333333,4.35374852040194,5
"11",1.44563297399685,1.25875773055707,1.75214368340388,1
"12",2.28020275406273,2.28063320998849,2.5408044216087,2
"13",2.16931947994876,1.86312581598111,2.23848961549782,2
"14",2.66103647647164,2.94853139736286,2.81897621224648,3
"15",3.84039052729472,3.48222008033729,3.6303579334072,4
"16",3.00457543895192,2.87245708852833,2.66141775806211,3
"17",1.33308876694131,0.836094986676486,1.04399929641802,1
"18",3.23699141956149,2.72916432899348,2.63024866329013,3
"19",2.39946080715017,2.48041735035762,2.5408044216087,3
"20",4.33595173138715,4.37708333333333,4.35374852040194,5
"21",1.24535013013592,1.29379846298015,1.32465687367555,1
"22",2.7041277850773,2.94853139736286,2.81897621224648,3
"23",2.39946080715017,2.48041735035762,2.5408044216087,3
"24",2.77331370418444,3.09018034216658,2.92533491220356,3
"25",3.21271871242114,3.34057113553357,3.4232745182808,4
"26",2.65306657006606,2.6726729481592,2.66141775806211,3
"27",3.21271871242114,3.34057113553357,3.4232745182808,4
"28",4.33595173138715,4.37708333333333,4.35374852040194,5
"29",2.51871886023761,2.48041735035762,2.5408044216087,3
"30",4.33595173138715,4.37708333333333,4.35374852040194,5
"31",1.93839813031279,1.86958754045734,1.95374126254733,2
"32",2.39946080715017,2.48041735035762,2.5408044216087,3
"33",4.33595173138715,4.37708333333333,4.35374852040194,5
"34",4.33595173138715,4.37708333333333,4.35374852040194,5
"35",4.33595173138715,4.37708333333333,4.35374852040194,5
"36",2.51871886023761,2.48041735035762,2.5408044216087,3
"37",3.49256370572806,3.34057113553357,3.48430719683767,4
"38",3.04187019888055,2.58751538418976,2.52407358026789,3
"39",3.68630936476438,3.48222008033729,3.46633246181373,4
"40",2.76472416804868,2.83978954879959,2.48040006078971,3
"41",2.09479382922304,2.01230330335238,1.9767729512678,2
"42",3.42199498938098,3.48222008033729,3.51044767526121,4
"43",2.7041277850773,2.94853139736286,2.81897621224648,3
"44",4.33595173138715,4.37708333333333,4.35374852040194,5
"45",2.66103647647164,2.94853139736286,2.81897621224648,3
"46",1.89936903165383,1.61273502261412,1.9767729512678,1
"47",4.33595173138715,4.37708333333333,4.35374852040194,5
"48",3.13293870495625,3.34057113553357,3.4232745182808,4
"49",2.51871886023761,2.48041735035762,2.5408044216087,3
"50",3.21271871242114,3.34057113553357,3.4232745182808,4
"51",3.21271871242114,3.34057113553357,3.4232745182808,4
"52",1.96068277534136,2.01230330335238,2.1016867016907,2
"53",4.33595173138715,4.37708333333333,4.35374852040194,5
"54",3.19334976104143,2.72916432899348,2.63024866329013,2
"55",4.33595173138715,4.37708333333333,4.35374852040194,5
"56",3.68630936476438,3.48222008033729,3.46633246181373,4
"57",4.33595173138715,4.37708333333333,4.35374852040194,5
"58",2.23398788571003,2.11997833382433,2.34218375684696,3
"59",3.61281083984644,3.34057113553357,3.51931735503777,4
"60",3.59661642033329,3.34057113553357,3.51931735503777,4
"61",4.26590650898568,4.37708333333333,4.35374852040194,5
"62",3.0034424354613,3.19892219072984,2.94832591701124,3
"63",3.13293870495625,3.34057113553357,3.4232745182808,4
"64",3.21271871242114,3.34057113553357,3.4232745182808,4
"65",3.21271871242114,3.34057113553357,3.4232745182808,4
"66",3.61281083984644,3.34057113553357,3.51931735503777,4
"67",4.33595173138715,4.37708333333333,4.35374852040194,5
"68",2.67919932280813,2.7308081437246,2.77395775605579,3
"69",2.7315097693669,2.81432189296292,2.61389863459104,3
"70",3.13293870495625,3.34057113553357,3.4232745182808,4
"71",3.68630936476438,3.48222008033729,3.46633246181373,4
"72",3.28595014833081,3.48222008033729,3.51044767526121,4
"73",2.09479382922304,2.01230330335238,1.9767729512678,2
"74",2.35327764732746,2.42228215479221,2.56009771137684,3
"75",2.7041277850773,2.94853139736286,2.81897621224648,3
"76",4.33595173138715,4.37708333333333,4.35374852040194,5
"77",4.33595173138715,4.37708333333333,4.35374852040194,5
"78",2.42635254059219,2.56393109959593,2.63252903064332,3
"79",3.13293870495625,3.34057113553357,3.4232745182808,4
"80",2.82882100450899,2.87245708852833,2.66141775806211,3
"81",1.7472044329866,1.76191250998539,1.78297281323843,2
"82",4.33595173138715,4.37708333333333,4.35374852040194,5
"83",3.21271871242114,3.34057113553357,3.4232745182808,4
"84",4.33595173138715,4.37708333333333,4.35374852040194,5
"85",2.39946080715017,2.48041735035762,2.5408044216087,3
"86",3.09270828042767,2.87245708852833,2.97216191753956,3
"87",2.56493372859031,2.62206629516134,2.56009771137684,3
"88",4.33595173138715,4.37708333333333,4.35374852040194,5
"89",3.61281083984644,3.34057113553357,3.51931735503777,4
"90",3.61281083984644,3.34057113553357,3.51931735503777,4
"91",2.57462337076523,2.53102400335547,2.77395775605579,3
