date,dma,isTreatmentPeriod,isTreatmentGroup,revenue
4/1/2012,698,0,1,34446.744
4/1/2012,702,0,1,36304.6968
4/1/2012,705,0,0,31569.4224
4/1/2012,709,0,1,35992.0728
4/1/2012,710,0,0,12852.2592
4/1/2012,711,0,0,7716.3048
4/1/2012,716,0,1,56948.1264
4/1/2012,717,0,1,17825.7888
4/1/2012,718,0,1,45715.2048
4/1/2012,722,0,1,51878.8296
4/1/2012,724,0,1,51307.6608
4/1/2012,725,0,1,49323.0096
4/1/2012,734,0,0,16418.8872
4/1/2012,736,0,1,16987.9536
4/1/2012,737,0,0,8899.4232
4/1/2012,740,0,1,1978.8768
4/1/2012,743,0,0,34585.596
4/1/2012,744,0,0,119943.2304
4/1/2012,745,0,0,7289.2008
4/1/2012,746,0,1,22993.3512
4/1/2012,747,0,0,8124.84
4/1/2012,749,0,0,19566.9792
4/1/2012,751,0,0,307795.4784
4/1/2012,752,0,1,60562.7424
4/1/2012,753,0,1,310252.0824
4/1/2012,754,0,1,15552.1728
4/1/2012,755,0,0,16227.1872
4/1/2012,756,0,1,24415.7616
4/1/2012,757,0,0,51938.4672
4/1/2012,758,0,0,30213.864
4/1/2012,759,0,0,13854.4848
4/1/2012,760,0,1,12924.0216
4/1/2012,762,0,1,22164.2136
4/1/2012,764,0,1,19750.4928
4/1/2012,765,0,1,66677.2128
4/1/2012,766,0,1,4171.932
4/1/2012,767,0,1,10052.3736
4/1/2012,770,0,1,198627.8184
4/1/2012,771,0,1,28224.468
4/1/2012,773,0,1,10584.4536
4/1/2012,789,0,1,80394.0336
4/1/2012,790,0,1,131927.8752
4/1/2012,798,0,1,1552.3776
4/1/2012,800,0,1,45586.548
4/1/2012,801,0,0,40820.436
4/1/2012,802,0,0,12663.36
4/1/2012,803,0,1,1517006.232
4/1/2012,804,0,1,22238.1
4/1/2012,807,0,1,671765.4288
4/1/2012,810,0,1,44661.8664
4/1/2012,811,0,0,52862.7384
4/1/2012,813,0,0,32963.832
4/1/2012,819,0,1,454525.1064
4/1/2012,820,0,1,245544.8184
4/1/2012,821,0,1,12353.8176
4/1/2012,825,0,1,280001.34
4/1/2012,828,0,1,61692.9336
